threshold,accuracy,precision,recall,f1
0.1,0.8043606364172068,0.9128630705394191,0.7104413347685683,0.7990314769975787
0.15,0.7990571596935769,0.9164305949008499,0.6964477933261571,0.7914373088685015
0.2,0.8002357100766058,0.927536231884058,0.6889128094725512,0.7906114885731933
0.25,0.7984678845020624,0.9309838472834068,0.682454251883746,0.7875776397515528
0.3,0.7984678845020624,0.9361069836552749,0.6781485468245425,0.7865168539325843
0.35,0.7949322333529758,0.9368421052631579,0.6706135629709364,0.7816813048933501
0.4,0.7943429581614614,0.9393939393939394,0.667384284176534,0.7803650094398993
0.45,0.7931644077784326,0.9405487804878049,0.6641550053821313,0.7785488958990536
0.5,0.7931644077784326,0.9459876543209876,0.6598493003229279,0.777425491439442
0.55,0.7925751325869181,0.9486780715396579,0.6566200215285253,0.7760814249363868
0.6,0.7913965822038892,0.9499217527386542,0.6533907427341227,0.7742346938775511
0.65,0.7913965822038892,0.9556259904912837,0.6490850376749193,0.7730769230769231
0.7,0.7919858573954036,0.9615384615384616,0.6458557588805167,0.77269800386349
0.75,0.7902180318208604,0.9658536585365853,0.6393972012917115,0.7694300518134715
0.8,0.7902180318208604,0.9704433497536946,0.6361679224973089,0.7685305591677504
0.85,0.7902180318208604,0.9864176570458404,0.6254036598493004,0.7654808959156785
0.9,0.783146729522687,0.9895287958115183,0.6103336921420882,0.7549933422103862
